a	eɪ
altocumulus	ˌæltəʊˈkjuːmjʊləs
altocumuli	ˌæltəʊˈkjuːmjʊlaɪ
altocumuli	ˌæltəʊˈkjuːmjʊliː
amanuensis	əˌmænjuˈensɪs
amanuenses	əˌmænjuˈensiːz
amass	əˈmæs
amateur	ˈæmətə(r)
amateurism	ˈæmətərɪzəm
amateurism	ˈæmətʃərɪzəm
amateurish	ˈæmətərɪʃ
alveolus	ælˈviːələs
alveoli	ælˈviːəlaɪ
alveoli	ælˈviːəliː
amaryllis	ˌæməˈrɪlɪs
amazed	əˈmeɪzd
amaze	əˈmeɪz
amazement	əˈmeɪzmənt
amazing	əˈmeɪzɪŋ
amazingly	əˈmeɪzɪŋli
amazon	ˈæməzən
ambassadress	æmˈbæsədres
amber	ˈæmbə(r)
ambidextrous	ˌæmbiˈdekstrəs
ambient	ˈæmbiənt
ambitious	æmˈbɪʃəs
ambitiously	æmˈbɪʃəsli
amatory	ˈæmətəri
ambassador	æmˈbæsədə(r)
ambassadorial	æmˌbæsəˈdɔːriəl
ambiguity	ˌæmbɪˈɡjuːəti
ambergris	ˈæmbəɡriːs
ambience	ˈæmbiəns
ambit	ˈæmbɪt
ambition	æmˈbɪʃn
ambiguous	æmˈbɪɡjuəs
ambiguously	æmˈbɪɡjuəsli
ambivalent	æmˈbɪvələnt
ambivalence	æmˈbɪvələns
amble	ˈæmbl
ambulance	ˈæmbjələns
ambulant	ˈæmbjələnt
ambulatory	ˈæmbjələtəri
ambush	ˈæmbʊʃ
ambrosia	æmˈbrəʊziə
amenable	əˈmiːnəbl
ameliorate	əˈmiːliəreɪt
amelioration	əˌmiːliəˈreɪʃn
amen	ɑːˈmen
amend	əˈmend
amends	əˈmendz
amendment	əˈmendmənt
amenity	əˈmiːnəti
americium	ˌæməˈrɪsiəm
amiable	ˈeɪmiəbl
amiability	ˌeɪmiəˈbɪləti
amethyst	ˈæməθɪst
amenorrhoea	əˌmenəˈriːə
amicable	ˈæmɪkəbl
amicably	ˈæmɪkəbli
amid	əˈmɪd
amidships	əˈmɪdʃɪps
amiss	əˈmɪs
amity	ˈæməti
ammeter	ˈæmiːtə(r)
ammonia	əˈməʊniə
ammonium	əˈməʊniəm
ammo	ˈæməʊ
ammonite	ˈæmənaɪt
amnesia	æmˈniːziə
amnesiac	æmˈniːziæk
amniocentesis	ˌæmniəʊsenˈtiːsɪs
amoeba	əˈmiːbə
amoebae	əˈmiːbiː
amok	əˈmɒk
amnesty	ˈæmnəsti
amoebic	əˈmiːbɪk
amoral	ˌeɪˈmɒrəl
amorality	ˌeɪməˈræləti
among	əˈmʌŋ
amorphous	əˈmɔːfəs
amorous	ˈæmərəs
amorously	ˈæmərəsli
amount	əˈmaʊnt
ammunition	ˌæmjuˈnɪʃn
amortize	əˈmɔːtaɪz
amortization	əˌmɔːtaɪˈzeɪʃn
amour	əˈmʊə(r)
amp	æmp
amperage	ˈæmpərɪdʒ
ampersand	ˈæmpəsænd
amphetamine	æmˈfetəmiːn
amphibious	æmˈfɪbiəs
amphibian	æmˈfɪbiən
amphora	ˈæmfərə
amphorae	ˈæmfəriː
ample	ˈæmpl
amply	ˈæmpli
amphitheatre	ˈæmfɪθɪətə(r)
amplify	ˈæmplɪfaɪ
amplification	ˌæmplɪfɪˈkeɪʃn
amplitude	ˈæmplɪtjuːd
amplifier	ˈæmplɪfaɪə(r)
amply	ˈæmpli
ampoule	ˈæmpuːl
amputee	ˌæmpjuˈtiː
amputate	ˈæmpjuteɪt
amputation	ˌæmpjuˈteɪʃn
amused	əˈmjuːzd
amusement	əˈmjuːzmənt
amulet	ˈæmjʊlət
amygdala	əˈmɪɡdələ
amygdalae	əˈmɪɡdəliː
amusing	əˈmjuːzɪŋ
amusingly	əˈmjuːzɪŋli
an	ən
amylase	ˈæmɪleɪz
anachronism	əˈnækrənɪzəm
anachronistic	əˌnækrəˈnɪstɪk
anaconda	ˌænəˈkɒndə
anaemic	əˈniːmɪk
anaemia	əˈniːmiə
anaerobic	ˌæneəˈrəʊbɪk
anaesthesia	ˌænəsˈθiːziə
anaesthetic	ˌænəsˈθetɪk
anaesthetist	əˈniːsθətɪst
anaglypta	ˌænəˈɡlɪptə
anagram	ˈænəɡræm
anaesthetize	əˈniːsθətaɪz
anal	ˈeɪnl
anally	ˈeɪnəli
analysand	əˈnælɪzænd
analgesic	ˌænəlˈdʒiːzɪk
analogue	ˈænəlɒɡ
analogy	əˈnælədʒi
analogous	əˈnæləɡəs
analysis	əˈnæləsɪs
analyses	əˈnæləsiːz
analphabetic	ˌænælfəˈbetɪk
analyse	ˈænəlaɪz
anaphylaxis	ˌænəfɪˈlæksɪs
anaphylaxes	ˌænəfɪˈlæksiːz
anaphylactic	ˌænəfɪˈlæktɪk
analgesia	ˌænəlˈdʒiːziə
anaphora	əˈnæfərə
anaphoric	ˌænəˈfɒrɪk
anathema	əˈnæθəmə
anarchism	ˈænəkɪzəm
analytic	ˌænəˈlɪtɪk
anarchy	ˈænəki
anarchic	əˈnɑːkɪk
anarchist	ˈænəkɪst
anarchistic	ˌænəˈkɪstɪk
analyst	ˈænəlɪst
analytical	ˌænəˈlɪtɪkl
analytically	ˌænəˈlɪtɪkli
anapaest	ˈænəpiːst
anapestic	ˌænəˈpiːstɪk
anatomist	əˈnætəmɪst
ancestor	ˈænsestə(r)
ancestral	ænˈsestrəl
anatomy	əˈnætəmi
anatomical	ˌænəˈtɒmɪkl
ancestry	ˈænsestri
anchor	ˈæŋkə(r)
anchorage	ˈæŋkərɪdʒ
anchorman	ˈæŋkəmæn
anchorwoman	ˈæŋkəwʊmən
anchormen	ˈæŋkəmen
anchorwomen	ˈæŋkəwɪmɪn
anchoress	ˈæŋkəres
ancient	ˈeɪnʃənt
anciently	ˈeɪnʃəntli
anchovy	ˈæntʃəvi
ancillary	ænˈsɪləri
andante	ænˈdænteɪ
anchorite	ˈæŋkəraɪt
androgen	ˈændrədʒən
and	ənd
android	ˈændrɔɪd
androgynous	ænˈdrɒdʒənəs
anecdotal	ˌænɪkˈdəʊtl
anecdotally	ˌænɪkˈdəʊtəli
anecdote	ˈænɪkdəʊt
anemometer	ˌænɪˈmɒmɪtə(r)
anesthesiologist	ˌænəsˌθiːziˈɒlədʒɪst
anemone	əˈneməni
anesthesia	ˌænəsˈθiːʒə
aneroid	ˈænərɔɪd
anew	əˈnjuː
angel	ˈeɪndʒl
aneurysm	ˈænjərɪzəm
angelic	ænˈdʒelɪk
angelically	ænˈdʒelɪkli
anger	ˈæŋɡə(r)
angina	ænˈdʒaɪnə
angler	ˈæŋɡlə(r)
angelus	ˈændʒələs
angelica	ænˈdʒelɪkə
angioplasty	ˈændʒiəʊplæsti
angle	ˈæŋɡl
anglicism	ˈæŋɡlɪsɪzəm
anglicize	ˈæŋɡlɪsaɪz
angling	ˈæŋɡlɪŋ
anglophile	ˈæŋɡləʊfaɪl
anglomania	ˌæŋɡləʊˈmeɪniə
anglophobia	ˌæŋɡləʊˈfəʊbiə
Anglophobe	ˈæŋɡləʊfəʊb
angular	ˈæŋɡjələ(r)
angst	æŋst
angry	ˈæŋɡri
angrily	ˈæŋɡrəli
anguish	ˈæŋɡwɪʃ
anguished	ˈæŋɡwɪʃd
anglophone	ˈæŋɡləʊfəʊn
animal	ˈænɪml
animation	ˌænɪˈmeɪʃn
animator	ˈænɪmeɪtə(r)
animatronics	ˌænɪməˈtrɒnɪks
animatronic	ˌænɪməˈtrɒnɪks
animosity	ˌænɪˈmɒsəti
ankle	ˈæŋkl
animus	ˈænɪməs
angora	æŋˈɡɔːrə
animism	ˈænɪmɪzəm
animist	ˈænɪmɪst
ankylosaur	ˈæŋkɪləsɔː(r)
anime	ˈænɪmeɪ
aniseed	ˈænəsiːd
ankh	æŋk
anklet	ˈæŋklət
ankylosis	ˌæŋkɪˈləʊsɪs
anna	ˈʌnə
annalist	ˈænəlɪst
annex	əˈneks
annexation	ˌænekˈseɪʃn
animate	ˈænɪmeɪt
annexe	ˈæneks
annals	ˈænlz
anneal	əˈniːl
animated	ˈænɪmeɪtɪd
animatedly	ˈænɪmeɪtɪdli
annihilate	əˈnaɪəleɪt
annihilation	əˌnaɪəˈleɪʃn
annotate	ˈænəteɪt
annotation	ˌænəˈteɪʃn
announcer	əˈnaʊnsə(r)
annoyance	əˈnɔɪəns
announce	əˈnaʊns
annoy	əˈnɔɪ
annualized	ˈænjuəlaɪzd
annual	ˈænjuəl
announcement	əˈnaʊnsmənt
annoyed	əˈnɔɪd
annoying	əˈnɔɪɪŋ
annoyingly	əˈnɔɪɪŋli
annually	ˈænjuəli
annul	əˈnʌl
annulment	əˈnʌlmənt
annuity	əˈnjuːəti
annunciator	əˈnʌnsieɪtə(r)
annunciation	əˌnʌnsiˈeɪʃn
anodize	ˈænədaɪz
anon	əˈnɒn
anoint	əˈnɔɪnt
anomalous	əˈnɒmələs
anomalously	əˈnɒmələsli
anomie	ˈænəmi
anniversary	ˌænɪˈvɜːsəri
anonymize	əˈnɒnɪmaɪz
anomaly	əˈnɒməli
annular	ˈænjələ(r)
anode	ˈænəʊd
anonymous	əˈnɒnɪməs
anonymously	əˈnɒnɪməsli
anorak	ˈænəræk
anonymity	ˌænəˈnɪməti
another	əˈnʌðə(r)
anorexic	ˌænəˈreksɪk
anodyne	ˈænədaɪn
answer	ˈɑːnsə(r)
anorexia	ˌænəˈreksiə
answerphone	ˈɑːnsəfəʊn
ant	ænt
antacid	æntˈæsɪd
antagonist	ænˈtæɡənɪst
antagonize	ænˈtæɡənaɪz
antecedent	ˌæntɪˈsiːdnt
antechamber	ˈæntitʃeɪmbə(r)
answerable	ˈɑːnsərəbl
antagonistic	ænˌtæɡəˈnɪstɪk
antagonistically	ænˌtæɡəˈnɪstɪkli
antelope	ˈæntɪləʊp
antedate	ˌæntiˈdeɪt
ante	ˈænti
antenatal	ˌæntiˈneɪtl
antepenultimate	ˌæntipenˈʌltɪmət
anthem	ˈænθəm
antagonism	ænˈtæɡənɪzəm
anteroom	ˈæntiruːm
antediluvian	ˌæntidɪˈluːviən
anther	ˈænθə(r)
antenna	ænˈtenə
antennae	ænˈteniː
anthology	ænˈθɒlədʒi
anthropocentric	ˌænθrəpəˈsentrɪk
anthropocentrism	ˌænθrəpəˈsentrɪzəm
anthropoid	ˈænθrəpɔɪd
anthrax	ˈænθræks
anthropomorphic	ˌænθrəpəˈmɔːfɪk
anthropomorphism	ˌænθrəpəˈmɔːfɪzəm
anthropologist	ˌænθrəˈpɒlədʒɪst
anthroposophy	ˌænθrəˈpɒsəfi
anthroposophical	ˌænθrəpəˈsɒfɪkl
anti	ˈænti
anthracite	ˈænθrəsaɪt
antibiotic	ˌæntibaɪˈɒtɪk
anthologize	ænˈθɒlədʒaɪz
anthurium	ænˈθjʊəriəm
anthropology	ˌænθrəˈpɒlədʒi
anthropological	ˌænθrəpəˈlɒdʒɪkl
antibody	ˈæntibɒdi
antibacterial	ˌæntibækˈtɪəriəl
anticipation	ænˌtɪsɪˈpeɪʃn
anticipate	ænˈtɪsɪpeɪt
anticipatory	ænˌtɪsɪˈpeɪtəri
anticlerical	ˌæntiˈklerɪkl
anticlericalism	ˌæntiˈklerɪklɪzəm
anticoagulant	ˌæntikəʊˈæɡjələnt
antidepressant	ˌæntidɪˈpresnt
anticline	ˈæntiklaɪn
anticonvulsant	ˌæntikənˈvʌlsənt
antigen	ˈæntɪdʒən
antihistamine	ˌæntiˈhɪstəmiːn
antilogarithm	ˌæntiˈlɒɡərɪðəm
antifreeze	ˈæntifriːz
anticyclone	ˌæntiˈsaɪkləʊn
anticlockwise	ˌæntiˈklɒkwaɪz
antidote	ˈæntidəʊt
antics	ˈæntɪks
anticlimax	ˌæntiˈklaɪmæks
anticlimactic	ˌæntiklaɪˈmæktɪk
antimony	ˈæntɪməni
antioxidant	ˌæntiˈɒksɪdənt
antiparticle	ˈæntipɑːtɪkl
antipodes	ænˈtɪpədiːz
Antipodean	ˌæntɪpəˈdiːən
antiquarian	ˌæntɪˈkweəriən
antipyretic	ˌæntipaɪˈretɪk
antiquark	ˈæntikwɑːk
antique	ænˈtiːk
antirrhinum	ˌæntɪˈraɪnəm
antipasto	ˌæntiˈpæstəʊ
antipasti	ˌæntiˈpæsti
antipathy	ænˈtɪpəθi
antipathetic	ˌæntɪpəˈθetɪk
antiquated	ˈæntɪkweɪtɪd
antiperspirant	ˌæntiˈpɜːspərənt
antisocial	ˌæntiˈsəʊʃl
antithesis	ænˈtɪθəsɪs
antitheses	ænˈtɪθəsiːz
antithetical	ˌæntɪˈθetɪkl
antiproton	ˈæntiprəʊtɒn
antiquity	ænˈtɪkwəti
antiseptic	ˌæntiˈseptɪk
antiviral	ˌæntiˈvaɪrəl
antivirus	ˈæntivaɪrəs
anus	ˈeɪnəs
anvil	ˈænvɪl
anxious	ˈæŋkʃəs
anxiously	ˈæŋkʃəsli
anyplace	ˈenipleɪs
anything	ˈeniθɪŋ
anywhere	ˈeniweə(r)
anyway	ˈeniweɪ
apace	əˈpeɪs
antsy	ˈæntsi
apartheid	əˈpɑːtaɪt
apache	əˈpætʃi
apathy	ˈæpəθi
aorta	eɪˈɔːtə
any	ˈeni
antonym	ˈæntənɪm
antler	ˈæntlə(r)
apex	ˈeɪpeks
aperture	ˈæpətʃə(r)
anyhow	ˈenihaʊ
aphorism	ˈæfərɪzəm
aphoristic	ˌæfəˈrɪstɪk
apeman	ˈeɪpmæn
apemen	ˈeɪpmen
aphrodisiac	ˌæfrəˈdɪziæk
aperitif	əˌperəˈtiːf
aplenty	əˈplenti
apocalyptic	əˌpɒkəˈlɪptɪk
apocryphal	əˈpɒkrɪfl
ape	eɪp
aphasia	əˈfeɪziə
apiece	əˈpiːs
apnoea	æpˈniːə
apocalypse	əˈpɒkəlɪps
aphid	ˈeɪfɪd
apocope	əˈpɒkəpi
anyone	ˈeniwʌn
apologetic	əˌpɒləˈdʒetɪk
apologetically	əˌpɒləˈdʒetɪkli
apologize	əˈpɒlədʒaɪz
apolitical	ˌeɪpəˈlɪtɪkl
apartment	əˈpɑːtmənt
aporia	əˈpɔːriə
aplomb	əˈplɒm
apocrypha	əˈpɒkrɪfə
apiary	ˈeɪpiəri
apologist	əˈpɒlədʒɪst
apoplectic	ˌæpəˈplektɪk
apologia	ˌæpəˈləʊdʒiə
apostle	əˈpɒsl
apoplexy	ˈæpəpleksi
apogee	ˈæpədʒiː
apothecary	əˈpɒθəkəri
apostrophize	əˈpɒstrəfaɪz
apostrophe	əˈpɒstrəfi
apparent	əˈpærənt
apparel	əˈpærəl
apology	əˈpɒlədʒi
appal	əˈpɔːl
apparatchik	ˌæpəˈrɑːtʃɪk
appalling	əˈpɔːlɪŋ
appallingly	əˈpɔːlɪŋli
apparently	əˈpærəntli
appeal	əˈpiːl
apparition	ˌæpəˈrɪʃn
apotheosis	əˌpɒθiˈəʊsɪs
apotheoses	əˌpɒθiˈəʊsiːz
apostolic	ˌæpəˈstɒlɪk
appalled	əˈpɔːld
appease	əˈpiːz
appeasement	əˈpiːzmənt
appellant	əˈpelənt
apostate	əˈpɒsteɪt
apostasy	əˈpɒstəsi
appendix	əˈpendɪks
appendices	əˈpendɪsiːz
appendixes	əˈpendɪksɪz
appertain	ˌæpəˈteɪn
appear	əˈpɪə(r)
appellative	əˈpelətɪv
apparat	ˌæpəˈrɑːt
apart	əˈpɑːt
apparatus	ˌæpəˈreɪtəs
append	əˈpend
appendectomy	ˌæpenˈdektəmi
appetite	ˈæpɪtaɪt
appendage	əˈpendɪdʒ
appellation	ˌæpəˈleɪʃn
appealing	əˈpiːlɪŋ
appealingly	əˈpiːlɪŋli
application	ˌæplɪˈkeɪʃn
applicable	əˈplɪkəbl
applicability	əˌplɪkəˈbɪləti
applicability	ˌæplɪkˈbɪləti
appetizing	ˈæpɪtaɪzɪŋ
appoint	əˈpɔɪnt
appointment	əˈpɔɪntmənt
apposite	ˈæpəzɪt
applicator	ˈæplɪkeɪtə(r)
appraise	əˈpreɪz
apposition	ˌæpəˈzɪʃn
applied	əˈplaɪd
applause	əˈplɔːz
appraisal	əˈpreɪzl
applaud	əˈplɔːd
appreciate	əˈpriːʃieɪt
applet	ˈæplət
appraiser	əˈpreɪzə(r)
apportion	əˈpɔːʃn
apportionment	əˈpɔːʃnmənt
apprentice	əˈprentɪs
apprehend	ˌæprɪˈhend
apprehension	ˌæprɪˈhenʃn
apple	ˈæpl
appreciation	əˌpriːʃiˈeɪʃn
apprehensive	ˌæprɪˈhensɪv
apprehensively	ˌæprɪˈhensɪvli
apprise	əˈpraɪz
appetizer	ˈæpɪtaɪzə(r)
appliance	əˈplaɪəns
applicant	ˈæplɪkənt
approachable	əˈprəʊtʃəbl
appointee	əˌpɔɪnˈtiː
appropriate	əˈprəʊpriət
appropriately	əˈprəʊpriətli
appro	ˈæprəʊ
appreciable	əˈpriːʃəbl
appreciably	əˈpriːʃəbli
approximation	əˌprɒksɪˈmeɪʃn
approbation	ˌæprəˈbeɪʃn
approve	əˈpruːv
appurtenance	əˈpɜːtɪnəns
appreciative	əˈpriːʃətɪv
appreciatively	əˈpriːʃətɪvli
apse	æps
apprenticeship	əˈprentɪʃɪp
approach	əˈprəʊtʃ
apron	ˈeɪprən
aptitude	ˈæptɪtjuːd
apt	æpt
aptly	ˈæptli
appropriation	əˌprəʊpriˈeɪʃn
aqualung	ˈækwəlʌŋ
apricot	ˈeɪprɪkɒt
approximate	əˈprɒksɪmət
approving	əˈpruːvɪŋ
approvingly	əˈpruːvɪŋli
aquaplane	ˈækwəpleɪn
apropos	ˌæprəˈpəʊ
aqua	ˈækwə
appearance	əˈpɪərəns
aquaplaning	ˈækwəpleɪnɪŋ
aquaculture	ˈækwəkʌltʃə(r)
aquatic	əˈkwætɪk
aquarobics	ˌækwəˈrəʊbɪks
aquamarine	ˌækwəməˈriːn
arabesque	ˌærəˈbesk
aqueduct	ˈækwɪdʌkt
aquarium	əˈkweəriəm
aquaria	əˈkweəriə
aquatint	ˈækwətɪnt
arable	ˈærəbl
arachnid	əˈræknɪd
arachnophobia	əˌræknəˈfəʊbiə
arbitrage	ˈɑːbɪtrɑːʒ
arbitrageur	ˌɑːbɪtrɑːˈʒɜː(r)
arbitration	ˌɑːbɪˈtreɪʃn
aquiline	ˈækwɪlaɪn
apply	əˈplaɪ
aquifer	ˈækwɪfə(r)
approximately	əˈprɒksɪmətli
aqueous	ˈeɪkwiəs
arabica	əˈræbɪkə
approval	əˈpruːvl
arboreal	ɑːˈbɔːriəl
arbitrary	ˈɑːbɪtrəri
arbitrarily	ˌɑːbɪˈtrerəli
arbiter	ˈɑːbɪtə(r)
arcade	ɑːˈkeɪd
arbutus	ɑːˈbjuːtəs
arbour	ˈɑːbə(r)
arbitrate	ˈɑːbɪtreɪt
arbitrator	ˈɑːbɪtreɪtə(r)
arcane	ɑːˈkeɪn
arc	ɑːk
arboretum	ˌɑːbəˈriːtəm
arcana	ɑːˈkeɪnə
arch	ɑːtʃ
archaism	ˈɑːkeɪɪzəm
archaic	ɑːˈkeɪɪk
archdeacon	ˌɑːtʃˈdiːkən
archaeopteryx	ˌɑːkiˈɒpterɪks
archangel	ˈɑːkeɪndʒl
arborist	ˈɑːbərɪst
archduchess	ˌɑːtʃˈdʌtʃəs
archaeology	ˌɑːkiˈɒlədʒi
archaeological	ˌɑːkiəˈlɒdʒɪkl
arboriculture	ˈɑːbərɪkʌltʃə(r)
arboricultural	ˌɑːbərɪˈkʌltʃərəl
archdiocese	ˌɑːtʃˈdaɪəsɪs
archduke	ˌɑːtʃˈdjuːk
arched	ɑːtʃt
archer	ˈɑːtʃə(r)
archaeologist	ˌɑːkiˈɒlədʒɪst
archetypal	ˌɑːkiˈtaɪpl
archipelago	ˌɑːkɪˈpeləɡəʊ
architect	ˈɑːkɪtekt
archery	ˈɑːtʃəri
archbishopric	ˌɑːtʃˈbɪʃəprɪk
architectonic	ˌɑːkɪtekˈtɒnɪk
architectural	ˌɑːkɪˈtektʃərəl
architecturally	ˌɑːkɪˈtektʃərəli
architrave	ˈɑːkɪtreɪv
archivist	ˈɑːkɪvɪst
archetype	ˈɑːkitaɪp
archbishop	ˌɑːtʃˈbɪʃəp
archway	ˈɑːtʃweɪ
ardent	ˈɑːdnt
ardently	ˈɑːdntli
ardour	ˈɑːdə(r)
archive	ˈɑːkaɪv
arena	əˈriːnə
areola	əˈriːələ
areolae	əˈriːəliː
area	ˈeəriə
are	ə(r)
arctic	ˈɑːktɪk
architecture	ˈɑːkɪtektʃə(r)
arduous	ˈɑːdjuəs
arduously	ˈɑːdjuəsli
argent	ˈɑːdʒənt
argon	ˈɑːɡɒn
argonauts	ˈɑːɡənɔːts
arguably	ˈɑːɡjuəbli
argot	ˈɑːɡəʊ
argue	ˈɑːɡjuː
arguable	ˈɑːɡjuəbl
argumentation	ˌɑːɡjumənˈteɪʃn
argumentative	ˌɑːɡjuˈmentətɪv
argument	ˈɑːɡjumənt
aria	ˈɑːriə
argyle	ɑːˈɡaɪl
arid	ˈærɪd
aridity	əˈrɪdəti
arise	əˈraɪz
arose	əˈrəʊz
arisen	əˈrɪzn
aristocrat	ˈærɪstəkræt
aristocratic	ˌærɪstəˈkrætɪk
arithmetical	ˌærɪθˈmetɪkl
arithmetically	ˌærɪθˈmetɪkli
aright	əˈraɪt
arm	ɑːm
armchair	ˈɑːmtʃeə(r)
armadillo	ˌɑːməˈdɪləʊ
armament	ˈɑːməmənt
armed	ɑːmd
armband	ˈɑːmbænd
aristocracy	ˌærɪˈstɒkrəsi
armhole	ˈɑːmhəʊl
armada	ɑːˈmɑːdə
armature	ˈɑːmətʃə(r)
armful	ˈɑːmfʊl
armistice	ˈɑːmɪstɪs
armlet	ˈɑːmlət
armoire	ɑːmˈwɑː(r)
armlock	ˈɑːmlɒk
armoured	ˈɑːməd
armourer	ˈɑːmərə(r)
armoury	ˈɑːməri
ark	ɑːk
arithmetic	əˈrɪθmətɪk
armour	ˈɑːmə(r)
armrest	ˈɑːmrest
armpit	ˈɑːmpɪt
army	ˈɑːmi
arms	ɑːmz
aroma	əˈrəʊmə
around	əˈraʊnd
aromatic	ˌærəˈmætɪk
armorial	ɑːˈmɔːriəl
arose	əˈrəʊz
arpeggio	ɑːˈpedʒiəʊ
arnica	ˈɑːnɪkə
arrack	ˈærək
arraign	əˈreɪn
arraignment	əˈreɪnmənt
arrange	əˈreɪndʒ
arrayed	əˈreɪd
arrears	əˈrɪəz
arresting	əˈrestɪŋ
aromatherapy	əˌrəʊməˈθerəpi
aromatherapist	əˌrəʊməˈθerəpɪst
arrest	əˈrest
arrive	əˈraɪv
arouse	əˈraʊz
arousal	əˈraʊzl
arrant	ˈærənt
arrangement	əˈreɪndʒmənt
arriviste	ˌæriːˈviːst
arrogant	ˈærəɡənt
arrogantly	ˈærəɡəntli
arrogate	ˈærəɡeɪt
arrival	əˈraɪvl
arrow	ˈærəʊ
arsenal	ˈɑːsənl
arranger	əˈreɪndʒə
array	əˈreɪ
arrowroot	ˈærəʊruːt
arroyo	əˈrɔɪəʊ
arsenic	ˈɑːsnɪk
arrogance	ˈærəɡəns
arson	ˈɑːsn
arsonist	ˈɑːsənɪst
arteriosclerosis	ɑːˌtɪəriəʊskləˈrəʊsɪs
arthritic	ɑːˈθrɪtɪk
articulate	ɑːˈtɪkjuleɪt
arrowhead	ˈærəʊhed
arthropod	ˈɑːθrəpɒd
artery	ˈɑːtəri
arterial	ɑːˈtɪəriəl
artful	ˈɑːtfl
artfully	ˈɑːtfəli
articulator	ɑːˈtɪkjuleɪtə(r)
arsehole	ˈɑːshəʊl
arse	ɑːs
arteriole	ɑːˈtɪəriəʊl
articulatory	ɑːˈtɪkjuleɪtəri
artifice	ˈɑːtɪfɪs
articulation	ɑːˌtɪkjuˈleɪʃn
artefact	ˈɑːtɪfækt
artificial	ˌɑːtɪˈfɪʃl
artificiality	ˌɑːtɪˌfɪʃiˈæləti
articled	ˈɑːtɪkld
artichoke	ˈɑːtɪtʃəʊk
artillery	ɑːˈtɪləri
artistic	ɑːˈtɪstɪk
artistically	ɑːˈtɪstɪkli
artist	ˈɑːtɪst
arty	ˈɑːti
arthritis	ɑːˈθraɪtɪs
artistry	ˈɑːtɪstri
artsy	ˈɑːtsi
artwork	ˈɑːtwɜːk
artisan	ˌɑːtɪˈzæn
articulated	ɑːˈtɪkjuleɪtɪd
as	əz
arvo	ˈɑːvəʊ
arugula	æˈruːɡjʊlə
art	ɑːt
asbestosis	ˌæsbesˈtəʊsɪs
ascendant	əˈsendənt
asbestos	æsˈbestəs
ascendancy	əˈsendənsi
ascertain	ˌæsəˈteɪn
ascertainable	ˌæsəˈteɪnəbl
ascent	əˈsent
aseptic	ˌeɪˈseptɪk
asexual	ˌeɪˈsekʃuəl
asexually	ˌeɪˈsekʃəli
ascension	əˈsenʃn
ascetic	əˈsetɪk
ascend	əˈsend
article	ˈɑːtɪkl
ash	æʃ
ashlar	ˈæʃlə(r)
ashamed	əˈʃeɪmd
ashore	əˈʃɔː(r)
aside	əˈsaɪd
ashen	ˈæʃn
ask	ɑːsk
ashram	ˈæʃrəm
aslant	əˈslɑːnt
ascribe	əˈskraɪb
ascribable	əˈskraɪbəbl
askari	əˈskɑːri
aspartame	əˈspɑːteɪm
askew	əˈskjuː
asp	æsp
aspect	ˈæspekt
asperity	æˈsperəti
asparagus	əˈspærəɡəs
aspersions	əˈspɜːʃnz
asphalt	ˈæsfælt
aspen	ˈæspən
asleep	əˈsliːp
asinine	ˈæsɪnaɪn
askance	əˈskæns
aspic	ˈæspɪk
asphyxiate	əsˈfɪksieɪt
asphyxiation	əsˌfɪksiˈeɪʃn
aspire	əˈspaɪə(r)
aspirational	ˌæspəˈreɪʃənl
ass	æs
aspirate	ˈæspərət
asphyxia	æsˈfɪksiə
aspirant	əˈspaɪərənt
assailant	əˈseɪlənt
aspiration	ˌæspəˈreɪʃn
aspergillosis	ˌæspədʒɪˈləʊsɪs
assault	əˈsɔːlt
assassin	əˈsæsɪn
assegai	ˈæsəɡaɪ
assemble	əˈsembl
assembly	əˈsembli
assent	əˈsent
aspidistra	ˌæspɪˈdɪstrə
aspirator	ˈæspɪreɪtə(r)
assassinate	əˈsæsɪneɪt
assassination	əˌsæsɪˈneɪʃn
assay	əˈseɪ
aspiring	əˈspaɪərɪŋ
assembler	əˈsemblə(r)
assail	əˈseɪl
aspirin	ˈæsprɪn
assert	əˈsɜːt
assertion	əˈsɜːʃn
assemblage	əˈsemblɪdʒ
assertive	əˈsɜːtɪv
assertively	əˈsɜːtɪvli
assessor	əˈsesə(r)
assessment	əˈsesmənt
asset	ˈæset
assignation	ˌæsɪɡˈneɪʃn
assistant	əˈsɪstənt
assistance	əˈsɪstəns
assemblyman	əˈsemblimən
assemblywoman	əˈsembliwʊmən
assemblymen	əˈsemblimən
assemblywomen	əˈsembliwɪmɪn
assist	əˈsɪst
asshole	ˈæshəʊl
associate	əˈsəʊʃieɪt
assignment	əˈsaɪnmənt
associated	əˈsəʊʃieɪtɪd
assiduous	əˈsɪdjuəs
assiduity	ˌæsɪˈdjuːəti
assimilate	əˈsɪməleɪt
assizes	əˈsaɪzɪz
assize	əˈsaɪz
assimilation	əˌsɪməˈleɪʃn
assess	əˈses
assessable	əˈsesəbl
assonance	ˈæsənəns
assistantship	əˈsɪstəntʃɪp
associative	əˈsəʊʃiətɪv
associationism	əˌsəʊsiˈeɪʃnɪzəm
assuming	əˈsjuːmɪŋ
assurance	əˈʃʊərəns
assumption	əˈsʌmpʃn
assumed	əˈsjuːmd
assign	əˈsaɪn
assuredly	əˈʃʊərədli
assured	əˈʃʊəd
assortment	əˈsɔːtmənt
assuage	əˈsweɪdʒ
asterisk	ˈæstərɪsk
astern	əˈstɜːn
